N°,Solped,Vía Atención,Observaciones OC,Finalizo OC,ESTATUS
2670,,COBRA,,28/09/2020,FINALIZADO
2551,,COBRA,,28/09/2020,FINALIZADO
2550,,COBRA,,28/09/2020,FINALIZADO
2549,,COBRA,,28/09/2020,FINALIZADO
2362,,COBRA,,,
2031,,COBRA,,,
2029,,OTROS,,,
1722,,OPEX,,,
974,,OPEX,SE COTIZARA,,
914,,OPEX,sE COTIZARA PARA SACAR VIA OPEX,,
2457,,COBRA,,28/09/2020,FINALIZADO
2456,,COBRA,,28/09/2020,FINALIZADO
2455,,COBRA,,,
2454,,COBRA,,,
1951,,COBRA,DEBERA ATENDERSE CON COBRA,,
1547,,COBRA,DEBERA ATENDERSE CON COBRA,,
2715,,COBRA,,,
2714,,COBRA,,,
2713,,COBRA,Esto es en la estructura del entrepiso aproximadamente 5m2,,
2712,,COBRA,Hasta 10m2,,
2711,,COBRA,,,
2688,,COBRA,,,
2687,,COBRA,,,
2685,,COBRA,,,
2684,,COBRA,Esto debe realizarse una vez se haya reemplazado la boya del tanque,,
2683,,COBRA,,,
2682,,COBRA,,,
2678,,OPEX,,,
2662,,COBRA,"Se debe raspar aplicar masilla para exteriores, lijar y volver a pintar. Esto se deberá hacer hasta 5m2 por visita.",,
2656,,OPEX,,,
2442,,opex,,,
2438,,COBRA,,,
1851,,CAPEX,atender via capex,,
1850,,OPEX,atender via capex,,
1849,,OPEX,atender via capex,,
1848,,OPEX,atender via capex,,
1847,,CAPEX,atender via capex,,
1846,,CAPEX,atender via capex,,
1845,,CAPEX,atender via capex,,
1844,,COBRA,,,
1843,,COBRA,Cobra resanará 5m2 por visita. Si requiere todo el cielo será  proyecto CAPEX.,,
1842,,OPEX,,,
1747,,OPEX,,,
1521,,COBRA,,,
1240,,COBRA,REALIZAR EN MANTENIMIENTO DE MARZO,,
166,,CAPEX,se realizara visita al sitio,,
474,,OPEX,se ATENDERÁ VÍA opex,,
1092,,COBRA,COBRA nos apoyara con este requerimiento,,
2675,,COBRA,Cambiará un máximo de 4 cerraduras por visita,,
2674,,COBRA,,,
2673,,OTROS,Esto lo veremos en una visita de supervisión,,
2672,,COBRA,,,
932,,OPEX,"Necesito FOTOGRAFÍA para saber el tipo de silla que es y realizar una COTIZACIÓN,",,
2612,,COBRA,,,
2463,,SERLISA,Se programará,,
1977,,OPEX,SE ATENDERA VIA CAPEX,,
1898,,OPEX,atender via OPEX,,
2694,,COBRA,,,
2693,,otros,Se validará en visita,,
1764,,otros,esto ya se atendió,,
1684,,OPEX,Solped en proceso,,
2628,,OPEX,,,
2627,,OPEX,,,
2626,,COBRA,,,
2625,,COBRA,,,
2624,,COBRA,,,
2623,,OPEX,Se levantaron alcances se procederá a cotizar el proyecto de acuerdo a visita el día 25.09.20,,
1807,,CAPEX,atender via capex,,
1805,,CAPEX,atender via capex,,
1804,,CAPEX,atender via capex,,
1803,,CAPEX,atender via capex,,
1802,,CAPEX,atender via capex,,
1801,,CAPEX,atender via capex,,
2617,,COBRA,,,
1800,,COBRA,,,
1799,,COBRA,Cobra podría pintar la tapa,,
1798,,COBRA,,,
1475,,CAPEX,,,
