01/03/2026,36.6243
02/03/2026,36.6243
03/03/2026,36.6243
04/03/2026,36.6243
05/03/2026,36.6243
06/03/2026,36.6243
07/03/2026,36.6243
08/03/2026,36.6243
09/03/2026,36.6243
10/03/2026,36.6243
11/03/2026,36.6243
12/03/2026,36.6243
13/03/2026,36.6243
14/03/2026,36.6243
15/03/2026,36.6243
16/03/2026,36.6243
17/03/2026,36.6243
18/03/2026,36.6243
19/03/2026,36.6243
20/03/2026,36.6243
21/03/2026,36.6243
22/03/2026,36.6243
23/03/2026,36.6243
24/03/2026,36.6243
25/03/2026,36.6243
26/03/2026,36.6243
27/03/2026,36.6243
28/03/2026,36.6243
29/03/2026,36.6243
30/03/2026,36.6243
31/03/2026,36.6243
